('Total Revenue', '254,190,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         1038380 function calls (1006079 primitive calls) in 2.498 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      328    1.820    0.006    1.820    0.006 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.149    0.149    0.149    0.149 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.098    0.098    0.098    0.098 {method 'connect' of '_socket.socket' objects}
19267/5359    0.022    0.000    0.044    0.000 element.py:2336(_matches)
     9979    0.021    0.000    0.021    0.000 decoder.py:351(raw_decode)
218684/218664    0.021    0.000    0.028    0.000 {built-in method builtins.isinstance}
 3087/250    0.015    0.000    0.041    0.000 _parser.py:511(_parse)
        1    0.014    0.014    0.076    0.076 _lxml.py:376(feed)
      224    0.012    0.000    0.012    0.000 {built-in method marshal.loads}
 3666/209    0.009    0.000    0.021    0.000 _compiler.py:37(_compile)
     9979    0.009    0.000    0.037    0.000 decoder.py:340(decode)
     2671    0.007    0.000    0.040    0.000 _lxml.py:245(start)
     5359    0.007    0.000    0.059    0.000 element.py:2240(search_tag)
73210/68181    0.007    0.000    0.008    0.000 {built-in method builtins.len}
    73920    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
    10790    0.006    0.000    0.069    0.000 element.py:2303(search)
    47440    0.005    0.000    0.006    0.000 {built-in method builtins.hasattr}
    22911    0.005    0.000    0.005    0.000 {method 'match' of 're.Pattern' objects}
  698/692    0.005    0.000    0.065    0.000 {built-in method builtins.__build_class__}
     2557    0.005    0.000    0.008    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
     9979    0.005    0.000    0.044    0.000 __init__.py:299(loads)
     8259    0.005    0.000    0.018    0.000 __init__.py:586(endData)
     2671    0.005    0.000    0.030    0.000 __init__.py:722(handle_starttag)
    20462    0.005    0.000    0.006    0.000 _parser.py:167(__getitem__)
    250/1    0.005    0.000    2.498    2.498 {built-in method builtins.exec}
        1    0.004    0.004    0.004    0.004 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
     1261    0.004    0.000    0.004    0.000 {built-in method posix.stat}
     8086    0.004    0.000    0.004    0.000 element.py:156(setup)
        4    0.004    0.001    0.076    0.019 element.py:792(_find_all)
        1    0.004    0.004    0.021    0.021 dammit.py:70(_populate_class_variables)
      720    0.004    0.000    0.006    0.000 _compiler.py:241(_optimize_charset)
     2672    0.004    0.000    0.014    0.000 element.py:1199(__init__)
        1    0.004    0.004    0.056    0.056 utils.py:42(load)
 1112/209    0.004    0.000    0.042    0.000 _parser.py:451(_parse_sub)
3642/3545    0.003    0.000    0.005    0.000 {built-in method __new__ of type object at 0x7f7821aead60}
    21551    0.003    0.000    0.007    0.000 <frozen abc>:117(__instancecheck__)
    25609    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
        4    0.003    0.001    0.003    0.001 {built-in method _codecs.utf_8_decode}
    26/24    0.003    0.000    0.004    0.000 {built-in method _imp.create_dynamic}
 3703/419    0.003    0.000    0.004    0.000 _parser.py:177(getwidth)
    21551    0.003    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
    11102    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
     2671    0.003    0.000    0.019    0.000 _lxml.py:317(end)
      285    0.003    0.000    0.003    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    15044    0.003    0.000    0.005    0.000 element.py:2203(_normalize_search_value)
    26/23    0.003    0.000    0.006    0.000 {built-in method _imp.exec_dynamic}
        1    0.003    0.003    0.003    0.003 {method 'splitlines' of 'str' objects}
    11330    0.003    0.000    0.005    0.000 _parser.py:260(get)
     2671    0.003    0.000    0.005    0.000 __init__.py:688(_popToTag)
13040/13037    0.003    0.000    0.008    0.000 {built-in method builtins.next}
     9979    0.003    0.000    0.003    0.000 fake.py:243(<lambda>)
      610    0.003    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
    17562    0.003    0.000    0.003    0.000 _parser.py:239(__next)
     2707    0.003    0.000    0.006    0.000 __init__.py:620(object_was_parsed)
    20606    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
        1    0.002    0.002    2.349    2.349 financial_enhanced.py:9(financial)
     2672    0.002    0.000    0.003    0.000 __init__.py:572(pushTag)
      224    0.002    0.000    0.002    0.000 {built-in method _io.open_code}
      224    0.002    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
     3209    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
        2    0.002    0.001    0.003    0.002 {method 'read' of '_io.TextIOWrapper' objects}
      472    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
     2671    0.002    0.000    0.002    0.000 __init__.py:558(popTag)
     2707    0.002    0.000    0.005    0.000 element.py:943(__new__)
     9132    0.002    0.000    0.002    0.000 _parser.py:255(match)
    15619    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
      224    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
     8660    0.001    0.000    0.002    0.000 _parser.py:163(__len__)
       19    0.001    0.000    0.003    0.000 enum.py:1749(convert_class)
     1433    0.001    0.000    0.002    0.000 __init__.py:648(_linkage_fixer)
     2671    0.001    0.000    0.007    0.000 __init__.py:763(handle_endtag)
     2181    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
    10819    0.001    0.000    0.001    0.000 element.py:2062(descendants)
      287    0.001    0.000    1.833    0.006 http11.py:209(_receive_event)
     4002    0.001    0.000    0.003    0.000 _lxml.py:345(data)
        1    0.001    0.001    0.004    0.004 fake.py:224(_filter_useragents)
     8815    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      306    0.001    0.000    0.072    0.000 __init__.py:330(_compile)
    11278    0.001    0.000    0.001    0.000 _lxml.py:141(_getNsTag)
     5345    0.001    0.000    0.002    0.000 _parser.py:175(append)
      283    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      224    0.001    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
     5446    0.001    0.000    0.002    0.000 element.py:1543(get)
    289/9    0.001    0.000    0.186    0.021 <frozen importlib._bootstrap>:1349(_find_and_load)
      329    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.001    0.001    0.001    0.001 {built-in method _socket.getaddrinfo}
     5303    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      448    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
     4124    0.001    0.000    0.001    0.000 __init__.py:773(handle_data)
     2706    0.001    0.000    0.001    0.000 __init__.py:523(string_container)
      615    0.001    0.000    0.007    0.000 _connection.py:426(next_event)
  596/595    0.001    0.000    0.002    0.000 _readers.py:157(__call__)
     3493    0.001    0.000    0.001    0.000 _parser.py:292(tell)
     9328    0.001    0.000    0.001    0.000 {built-in method builtins.min}
      325    0.001    0.000    0.003    0.000 css_parser.py:1094(selector_iter)
     1295    0.001    0.000    0.001    0.000 typing.py:1368(__setattr__)
