('Total Revenue', '254,190,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         849322 function calls (822918 primitive calls) in 1.870 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
152256/152252    0.014    0.000    0.019    0.000 {built-in method builtins.isinstance}
    74265    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
71698/66857    0.007    0.000    0.007    0.000 {built-in method builtins.len}
    30168    0.003    0.000    0.003    0.000 {built-in method builtins.hasattr}
    23647    0.005    0.000    0.007    0.000 _parser.py:167(__getitem__)
    22789    0.005    0.000    0.005    0.000 {method 'match' of 're.Pattern' objects}
    22386    0.003    0.000    0.003    0.000 _parser.py:239(__next)
    20606    0.002    0.000    0.002    0.000 {method 'end' of 're.Match' objects}
    19536    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
    15075    0.003    0.000    0.006    0.000 _parser.py:260(get)
    14763    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
    14600    0.002    0.000    0.005    0.000 <frozen abc>:117(__instancecheck__)
    14600    0.002    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
11973/3923    0.013    0.000    0.027    0.000 element.py:2336(_matches)
    11688    0.002    0.000    0.003    0.000 _parser.py:255(match)
    10233    0.001    0.000    0.001    0.000 {built-in method builtins.min}
     9979    0.005    0.000    0.043    0.000 __init__.py:299(loads)
     9979    0.003    0.000    0.003    0.000 fake.py:243(<lambda>)
     9979    0.009    0.000    0.037    0.000 decoder.py:340(decode)
     9979    0.021    0.000    0.021    0.000 decoder.py:351(raw_decode)
     9836    0.002    0.000    0.002    0.000 _parser.py:163(__len__)
     9352    0.002    0.000    0.003    0.000 element.py:2203(_normalize_search_value)
     8613    0.001    0.000    0.001    0.000 _lxml.py:141(_getNsTag)
7726/7658    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
     7675    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
7633/7631    0.001    0.000    0.006    0.000 {built-in method builtins.next}
     7317    0.001    0.000    0.001    0.000 element.py:2062(descendants)
     7288    0.004    0.000    0.044    0.000 element.py:2303(search)
     6638    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
     5993    0.003    0.000    0.010    0.000 __init__.py:586(endData)
     5967    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     5896    0.001    0.000    0.002    0.000 _parser.py:175(append)
     5302    0.002    0.000    0.002    0.000 element.py:156(setup)
     4732    0.001    0.000    0.001    0.000 _parser.py:112(__init__)
     4227    0.001    0.000    0.001    0.000 _parser.py:292(tell)
 4078/398    0.003    0.000    0.004    0.000 _parser.py:177(getwidth)
 4055/202    0.010    0.000    0.025    0.000 _compiler.py:37(_compile)
     4043    0.000    0.000    0.000    0.000 element.py:1586(__bool__)
     4010    0.001    0.000    0.001    0.000 element.py:1543(get)
     3923    0.005    0.000    0.038    0.000 element.py:2240(search_tag)
     3844    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     3778    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
 3261/213    0.018    0.000    0.048    0.000 _parser.py:511(_parse)
     3138    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
     2907    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     2843    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
     2801    0.000    0.000    0.001    0.000 {built-in method builtins.max}
     2782    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
     2653    0.001    0.000    0.001    0.000 __init__.py:773(handle_data)
     2587    0.001    0.000    0.002    0.000 _lxml.py:345(data)
     2481    0.000    0.000    0.002    0.000 css_parser.py:307(match)
     2470    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
     2416    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
2398/2372    0.002    0.000    0.003    0.000 {built-in method __new__ of type object at 0x7f3f74eead60}
     1954    0.002    0.000    0.002    0.000 __init__.py:572(pushTag)
     1954    0.003    0.000    0.008    0.000 element.py:1199(__init__)
     1954    0.000    0.000    0.000    0.000 __init__.py:205(can_be_empty_element)
     1954    0.000    0.000    0.000    0.000 __init__.py:453(set_up_substitutions)
     1953    0.003    0.000    0.018    0.000 __init__.py:722(handle_starttag)
     1953    0.002    0.000    0.004    0.000 __init__.py:688(_popToTag)
     1953    0.001    0.000    0.001    0.000 __init__.py:558(popTag)
     1953    0.002    0.000    0.012    0.000 _lxml.py:317(end)
     1953    0.006    0.000    0.026    0.000 _lxml.py:245(start)
     1953    0.000    0.000    0.000    0.000 _lxml.py:308(_prefix_for_namespace)
     1953    0.001    0.000    0.005    0.000 __init__.py:763(handle_endtag)
     1912    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     1908    0.003    0.000    0.005    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
     1762    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
     1674    0.002    0.000    0.004    0.000 __init__.py:620(object_was_parsed)
     1674    0.001    0.000    0.003    0.000 element.py:943(__new__)
     1673    0.001    0.000    0.001    0.000 __init__.py:523(string_container)
     1649    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1621    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     1395    0.001    0.000    0.001    0.000 _parser.py:171(__setitem__)
     1380    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
 1239/202    0.004    0.000    0.048    0.000 _parser.py:451(_parse_sub)
     1182    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1182    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1137    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
     1076    0.001    0.000    0.001    0.000 _parser.py:311(_class_escape)
     1040    0.003    0.000    0.003    0.000 {built-in method posix.stat}
     1035    0.000    0.000    0.001    0.000 _compiler.py:401(_simple)
     1029    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      941    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      932    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      922    0.001    0.000    0.001    0.000 _compiler.py:214(_compile_charset)
      922    0.005    0.000    0.007    0.000 _compiler.py:241(_optimize_charset)
      907    0.000    0.000    0.001    0.000 _parser.py:448(_uniq)
      894    0.000    0.000    0.000    0.000 enum.py:1585(_get_value)
      859    0.001    0.000    0.001    0.000 __init__.py:648(_linkage_fixer)
      826    0.000    0.000    0.001    0.000 _parser.py:371(_escape)
      793    0.000    0.000    0.000    0.000 _parser.py:82(groups)
      790    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      743    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      732    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      688    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      680    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      680    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      633    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
      604    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      572    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      549    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
  548/530    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
