('Total Revenue', '254,190,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         849098 function calls (822706 primitive calls) in 1.531 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      256    1.004    0.004    1.004    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.097    0.097    0.097    0.097 {built-in method _socket.getaddrinfo}
        1    0.042    0.042    0.042    0.042 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.036    0.036    0.036    0.036 {method 'connect' of '_socket.socket' objects}
     9979    0.021    0.000    0.021    0.000 decoder.py:351(raw_decode)
 3261/213    0.018    0.000    0.049    0.000 _parser.py:511(_parse)
152219/152215    0.015    0.000    0.020    0.000 {built-in method builtins.isinstance}
11973/3923    0.014    0.000    0.029    0.000 element.py:2336(_matches)
 4055/202    0.011    0.000    0.027    0.000 _compiler.py:37(_compile)
      172    0.010    0.000    0.010    0.000 {built-in method marshal.loads}
        1    0.010    0.010    0.051    0.051 _lxml.py:376(feed)
     9979    0.009    0.000    0.037    0.000 decoder.py:340(decode)
    74238    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
71674/66845    0.007    0.000    0.008    0.000 {built-in method builtins.len}
     1953    0.006    0.000    0.026    0.000 _lxml.py:245(start)
    23635    0.006    0.000    0.008    0.000 _parser.py:167(__getitem__)
     3923    0.005    0.000    0.039    0.000 element.py:2240(search_tag)
    22789    0.005    0.000    0.005    0.000 {method 'match' of 're.Pattern' objects}
     9979    0.005    0.000    0.043    0.000 __init__.py:299(loads)
      922    0.005    0.000    0.007    0.000 _compiler.py:241(_optimize_charset)
        1    0.004    0.004    0.004    0.004 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
     7288    0.004    0.000    0.046    0.000 element.py:2303(search)
        1    0.004    0.004    0.024    0.024 dammit.py:70(_populate_class_variables)
  529/525    0.004    0.000    0.064    0.000 {built-in method builtins.__build_class__}
 1239/202    0.004    0.000    0.049    0.000 _parser.py:451(_parse_sub)
        1    0.004    0.004    0.055    0.055 utils.py:42(load)
    30168    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
    15075    0.004    0.000    0.006    0.000 _parser.py:260(get)
 4078/398    0.003    0.000    0.005    0.000 _parser.py:177(getwidth)
     1040    0.003    0.000    0.003    0.000 {built-in method posix.stat}
    22386    0.003    0.000    0.003    0.000 _parser.py:239(__next)
     1953    0.003    0.000    0.018    0.000 __init__.py:722(handle_starttag)
    25/23    0.003    0.000    0.004    0.000 {built-in method _imp.create_dynamic}
    25/22    0.003    0.000    0.006    0.000 {built-in method _imp.exec_dynamic}
     5993    0.003    0.000    0.010    0.000 __init__.py:586(endData)
        4    0.003    0.001    0.051    0.013 element.py:792(_find_all)
        1    0.003    0.003    0.003    0.003 {method 'splitlines' of 'str' objects}
     1908    0.003    0.000    0.005    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
     9979    0.003    0.000    0.003    0.000 fake.py:243(<lambda>)
     1954    0.003    0.000    0.009    0.000 element.py:1199(__init__)
    19536    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
        1    0.002    0.002    1.352    1.352 financial.py:9(financial)
     5302    0.002    0.000    0.002    0.000 element.py:156(setup)
2393/2367    0.002    0.000    0.003    0.000 {built-in method __new__ of type object at 0x7f2eee4ead60}
    14600    0.002    0.000    0.005    0.000 <frozen abc>:117(__instancecheck__)
      536    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
7726/7658    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
    14600    0.002    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
    20606    0.002    0.000    0.002    0.000 {method 'end' of 're.Match' objects}
     1953    0.002    0.000    0.012    0.000 _lxml.py:317(end)
     9352    0.002    0.000    0.003    0.000 element.py:2203(_normalize_search_value)
       32    0.002    0.000    0.002    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    11688    0.002    0.000    0.003    0.000 _parser.py:255(match)
     1953    0.002    0.000    0.004    0.000 __init__.py:688(_popToTag)
      472    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
     2782    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
      172    0.002    0.000    0.002    0.000 {built-in method _io.open_code}
        2    0.002    0.001    0.003    0.002 {method 'read' of '_io.TextIOWrapper' objects}
     9824    0.002    0.000    0.002    0.000 _parser.py:163(__len__)
     1674    0.002    0.000    0.004    0.000 __init__.py:620(object_was_parsed)
     1954    0.002    0.000    0.002    0.000 __init__.py:572(pushTag)
7633/7631    0.001    0.000    0.006    0.000 {built-in method builtins.next}
    14763    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
        2    0.001    0.001    0.001    0.001 {built-in method _codecs.utf_8_decode}
